 	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	5	5	5	6	6	7	7	7	7	7	8	8	8	8	2	2	2	2	2	2	2	2	1	1	1	
24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	5	5	5	6	6	7	7	7	7	7	8	8	8	8	2	2	9	2	2	2	2	2	1	1	1	
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	5	5	5	6	6	7	7	7	7	7	7	8	8	8	2	9	9	2	2	2	2	2	1	1	1	
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	4	4	4	4	5	5	5	6	6	7	7	7	7	7	7	8	8	8	9	9	2	2	2	2	2	2	1	1	1	
21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	4	4	4	4	5	5	5	6	6	6	7	7	7	7	7	8	8	8	9	9	2	2	2	2	2	2	1	1	1	
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	4	4	4	4	5	5	5	5	6	6	6	6	7	7	7	8	8	8	9	9	2	2	9	9	2	2	1	1	1	
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	5	5	5	5	5	6	6	6	6	7	7	8	8	8	9	9	2	9	9	9	2	2	1	1	1	
18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	5	5	5	5	6	6	6	6	6	6	8	8	8	8	9	9	9	9	9	2	2	1	1	1	
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	3	4	4	4	4	5	5	5	5	5	6	6	6	6	6	8	8	8	8	8	9	9	9	2	2	2	1	1	1	
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	6	8	8	8	8	9	9	2	2	2	2	1	1	1	
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	8	8	8	9	2	2	2	2	1	1	1	
14	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	2	8	8	9	9	2	2	2	1	1	1	
13	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	7	8	8	9	9	2	2	2	1	1	1	
12	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	7	7	2	2	2	2	2	2	2	1	1	1	
11	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	6	6	6	7	7	7	7	2	2	2	2	2	2	2	1	1	1	
10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3	2	4	4	4	4	5	5	5	5	5	5	6	7	6	7	7	7	7	2	2	2	2	2	2	2	1	1	1	
9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	3	3	3	3	2	4	4	4	4	4	5	5	5	5	5	7	7	7	7	7	7	7	2	2	2	2	2	2	2	1	1	1	
8	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	3	3	3	2	3	3	4	4	4	4	5	5	5	5	5	5	7	7	7	2	2	7	8	8	8	9	9	9	2	1	1	1	
7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	4	4	4	4	5	5	5	5	5	5	5	7	7	2	2	7	8	8	8	8	9	9	2	1	1	1	
6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	4	4	4	4	5	5	5	5	5	5	7	7	2	2	7	8	8	2	2	2	9	9	1	1	1	
5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	4	4	4	5	5	5	5	5	5	5	6	6	2	2	2	2	2	2	2	2	9	1	1	1	
4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	4	4	2	6	6	5	5	5	5	5	6	2	6	6	2	2	2	2	2	2	1	1	1	
3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4	4	4	2	6	6	6	5	5	5	5	6	6	6	6	2	2	2	2	2	2	1	1	1	
2	1	1	1	1	1	1	1	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4	4	2	2	6	6	6	5	5	5	6	6	6	6	2	2	2	2	2	2	2	1	1	1	
1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	4	6	6	2	6	6	6	6	5	5	6	6	2	2	2	2	2	2	2	2	2	1	1	1	
0	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4	4	6	2	6	6	6	6	6	6	6	6	6	2	2	2	2	2	2	2	2	1	1	1	
-1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4	4	5	6	2	6	6	6	6	6	6	6	6	2	2	2	2	2	2	2	2	1	1	1	
-2	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4	4	4	5	6	2	6	6	6	6	6	6	2	6	2	2	2	2	2	2	2	2	1	1	1	
-3	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	3	3	3	3	4	4	4	4	5	6	2	2	6	6	6	6	6	2	7	7	2	2	2	2	2	2	2	1	1	1	
-4	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	4	4	4	4	4	5	6	2	2	2	6	6	6	6	2	7	7	7	2	2	2	2	2	2	1	1	1	
-5	1	1	1	1	1	1	1	1	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	4	4	4	4	5	6	6	2	2	2	2	2	2	2	2	2	7	7	2	2	2	2	2	2	1	1	1	
-6	1	1	1	1	1	1	1	1	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	4	4	4	5	6	6	2	2	2	2	2	2	2	2	2	2	7	7	2	2	2	2	2	2	1	1	1	
-7	1	1	1	1	1	1	1	1	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	4	4	4	4	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	
-8	1	1	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	5	6	6	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	
-9	1	1	1	1	1	1	1	1	5	5	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	5	5	5	6	6	6	6	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	
-10	1	1	1	1	1	1	1	1	5	5	5	4	4	4	4	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	6	6	6	6	6	6	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	
-11	1	1	1	1	1	1	1	1	5	5	5	4	4	4	4	3	3	3	3	3	3	3	3	4	4	4	4	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	
-12	1	1	1	1	1	1	1	1	5	5	5	5	4	4	4	4	3	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	7	7	7	7	7	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	
-13	1	1	1	1	1	1	1	1	5	5	5	5	5	4	4	4	3	3	3	3	3	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	
-14	1	1	1	1	1	1	1	1	5	5	5	5	5	4	4	4	3	3	3	3	4	4	4	4	4	5	5	5	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	8	8	9	9	9	9	2	2	2	2	2	2	1	1	1	
-15	1	1	1	1	1	1	1	1	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	5	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	8	8	9	9	9	9	2	2	2	2	2	2	1	1	1	
-16	1	1	1	1	1	1	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	5	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	9	9	9	2	2	2	2	2	2	1	1	1	
-17	1	1	1	1	1	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	9	9	9	2	2	2	2	2	2	1	1	1	
